MONTHYEAR,% <=120 min,Goal - 60% within 120 min,N,Baseline % <=120 min,LCL,UCL
2014-Jan,32%,.60,19,27%,0,0.57470249043613
2014-Feb,46%,.60,13,27%,0,0.63849841865119
2014-Mar,32%,.60,28,27%,0.017855908543588,0.52088947891029
2014-Apr,20%,.60,10,27%,0,0.69024077405747
2014-May,21%,.60,19,27%,0,0.57470249043613
2014-Jun,38%,.60,13,27%,0,0.63849841865119
2014-Jul,44%,.60,9,27%,0,0.71300660316267
2014-Aug,37%,.60,19,27%,0,0.57470249043613
2014-Sep,21%,.60,19,27%,0,0.57470249043613
2014-Oct,23%,.60,26,27%,0.0083613905226008,0.53038399693127
2014-Nov,19%,.60,16,27%,0,0.60209812580374
2014-Dec,11%,.60,18,27%,0,0.58306923945324
2015-Jan,40%,.60,20,27%,0,0.56697136731362
2015-Feb,20%,.60,20,27%,0,0.56697136731362
2015-Mar,14%,.60,22,27%,0,0.55312189560095
2015-Apr,40%,.60,10,27%,0,0.69024077405747
2015-May,50%,.60,14,27%,0,0.62507114249771
2015-Jun,0%,.60,8,27%,0,0.73991751231639
2015-Jul,41%,.60,17,27%,0,0.59216377626386
2015-Aug,33%,.60,21,27%,0,0.55979926098957
2015-Sep,39%,.60,28,27%,0.017855908543588,0.52088947891029
2015-Oct,37%,.60,30,27%,0.026384394254783,0.51236099319909
2015-Nov,40%,.60,20,27%,0,0.56697136731362
2015-Dec,43%,.60,30,27%,0.026384394254783,0.51236099319909
2016-Jan,15%,.60,26,27%,0.0083613905226008,0.53038399693127
2016-Feb,30%,.60,27,27%,0.013240536692572,0.5255048507613
2016-Mar,14%,.60,28,27%,0.017855908543588,0.52088947891029
2016-Apr,46%,.60,26,27%,0.0083613905226008,0.53038399693127
2016-May,42%,.60,26,27%,0.0083613905226008,0.53038399693127
2016-Jun,50%,.60,24,27%,0,0.54104187140534
2016-Jul,46%,.60,26,27%,0.0083613905226008,0.53038399693127
2016-Aug,39%,.60,23,27%,0,0.54688488777246
2016-Sep,11%,.60,18,27%,0,0.58306923945324
2016-Oct,25%,.60,28,39%,0.10945734503877,0.66130677456256
2016-Nov,42%,.60,36,39%,0.14203933452186,0.62872478507947
2016-Dec,41%,.60,34,39%,0.13498446126044,0.63577965834089
2017-Jan,36%,.60,28,39%,0.10945734503877,0.66130677456256
2017-Feb,42%,.60,31,39%,0.12314819778236,0.64761592181897
2017-Mar,33%,.60,18,39%,0.04124347740655,0.72952064219478
2017-Apr,50%,.60,20,39%,0.058903534468587,0.71186058513274
2017-May,41%,.60,29,39%,0.11425640181923,0.6565077177821
2017-Jun,75%,.60,12,39%,0,0.80686402363583
2017-Jul,35%,.60,17,39%,0.031266379959428,0.7394977396419
2017-Aug,52%,.60,25,39%,0.0933707894661,0.67739333013523
2017-Sep,46%,.60,24,39%,0.087349305024997,0.68341481457633
2017-Oct,25%,.60,24,39%,0.087349305024997,0.68341481457633
2017-Nov,16%,.60,25,39%,0.0933707894661,0.67739333013523
2017-Dec,39%,.60,28,39%,0.10945734503877,0.66130677456256
2018-Jan,26%,.60,27,39%,0.10439408391056,0.66637003569077
2018-Feb,21%,.60,28,39%,0.10945734503877,0.66130677456256
2018-Mar,57%,.60,23,39%,0.080939265141296,0.68982485446003
2018-Apr,50%,.60,32,39%,0.12727812300508,0.64348599659625
2018-May,43%,.60,23,39%,0.080939265141296,0.68982485446003
2018-Jun,37%,.60,19,39%,0.050422160389269,0.72034195921206
2018-Jul,35%,.60,20,39%,0.058903534468587,0.71186058513274
2018-Aug,48%,.60,21,39%,0.066771643112961,0.70399247648837
2018-Sep,30%,.60,30,39%,0.1188134601207,0.65195065948063
2018-Oct,33%,.60,3,39%,0,1
