MONTHYEAR,% Pain Score Documented,N,N Pain Score,Baseline % Pain Score Documented
2014-Jan,4%,24,N Pain Reassessment = 1,11%
2014-Feb,13%,30,N Pain Reassessment = 4,11%
2014-Mar,19%,31,N Pain Reassessment = 6,11%
2014-Apr,5%,22,N Pain Reassessment = 1,11%
2014-May,15%,20,N Pain Reassessment = 3,11%
2014-Jun,19%,16,N Pain Reassessment = 3,11%
2014-Jul,13%,8,N Pain Reassessment = 1,11%
2014-Aug,0%,10,N Pain Reassessment = 0,11%
2014-Sep,21%,24,N Pain Reassessment = 5,11%
2014-Oct,6%,34,N Pain Reassessment = 2,11%
2014-Nov,5%,42,N Pain Reassessment = 2,11%
2014-Dec,3%,31,N Pain Reassessment = 1,11%
2015-Jan,11%,28,N Pain Reassessment = 3,11%
2015-Feb,15%,39,N Pain Reassessment = 6,11%
2015-Mar,10%,29,N Pain Reassessment = 3,11%
2015-Apr,4%,24,N Pain Reassessment = 1,11%
2015-May,9%,22,N Pain Reassessment = 2,11%
2015-Jun,0%,12,N Pain Reassessment = 0,11%
2015-Jul,0%,7,N Pain Reassessment = 0,11%
2015-Aug,33%,12,N Pain Reassessment = 4,11%
2015-Sep,18%,17,N Pain Reassessment = 3,11%
2015-Oct,3%,33,N Pain Reassessment = 1,11%
2015-Nov,12%,34,N Pain Reassessment = 4,11%
2015-Dec,8%,40,N Pain Reassessment = 3,11%
2016-Jan,21%,38,N Pain Reassessment = 8,11%
2016-Feb,13%,47,N Pain Reassessment = 6,11%
2016-Mar,2%,43,N Pain Reassessment = 1,11%
2016-Apr,13%,23,N Pain Reassessment = 3,11%
2016-May,3%,29,N Pain Reassessment = 1,11%
2016-Jun,13%,15,N Pain Reassessment = 2,11%
2016-Jul,5%,19,N Pain Reassessment = 1,11%
2016-Aug,0%,9,N Pain Reassessment = 0,11%
2016-Sep,21%,24,N Pain Reassessment = 5,11%
2016-Oct,9%,32,N Pain Reassessment = 3,11%
2016-Nov,11%,27,N Pain Reassessment = 3,11%
2016-Dec,13%,45,N Pain Reassessment = 6,11%
2017-Jan,5%,42,N Pain Reassessment = 2,11%
2017-Feb,14%,44,N Pain Reassessment = 6,11%
2017-Mar,11%,36,N Pain Reassessment = 4,11%
2017-Apr,19%,27,N Pain Reassessment = 5,11%
2017-May,7%,28,N Pain Reassessment = 2,11%
2017-Jun,13%,16,N Pain Reassessment = 2,11%
2017-Jul,14%,21,N Pain Reassessment = 3,11%
2017-Aug,11%,18,N Pain Reassessment = 2,11%
2017-Sep,3%,31,N Pain Reassessment = 1,11%
2017-Oct,10%,39,N Pain Reassessment = 4,11%
2017-Nov,6%,31,N Pain Reassessment = 2,11%
2017-Dec,12%,34,N Pain Reassessment = 4,11%
2018-Jan,13%,40,N Pain Reassessment = 5,11%
2018-Feb,5%,38,N Pain Reassessment = 2,11%
2018-Mar,3%,30,N Pain Reassessment = 1,11%
2018-Apr,11%,44,N Pain Reassessment = 5,11%
2018-May,10%,21,N Pain Reassessment = 2,11%
2018-Jun,0%,16,N Pain Reassessment = 0,11%
2018-Jul,8%,13,N Pain Reassessment = 1,11%
2018-Aug,0%,18,N Pain Reassessment = 0,11%
2018-Sep,6%,33,N Pain Reassessment = 2,11%
2018-Oct,0%,2,N Pain Reassessment = 0,11%
